,lya_model_low_2sig,lya_model_low_1sig,lya_model_median,lya_model_high_1sig,lya_model_high_2sig,lya_model unconvolved_low_2sig,lya_model unconvolved_low_1sig,lya_model unconvolved_median,lya_model unconvolved_high_1sig,lya_model unconvolved_high_2sig,lya_intrinsic_low_2sig,lya_intrinsic_low_1sig,lya_intrinsic_median,lya_intrinsic_high_1sig,lya_intrinsic_high_2sig,lya_intrinsic unconvolved_low_2sig,lya_intrinsic unconvolved_low_1sig,lya_intrinsic unconvolved_median,lya_intrinsic unconvolved_high_1sig,lya_intrinsic unconvolved_high_2sig,lya_ism_low_2sig,lya_ism_low_1sig,lya_ism_median,lya_ism_high_1sig,lya_ism_high_2sig,lya_ism unconvolved_low_2sig,lya_ism unconvolved_low_1sig,lya_ism unconvolved_median,lya_ism unconvolved_high_1sig,lya_ism unconvolved_high_2sig,lya_reversal_low_2sig,lya_reversal_low_1sig,lya_reversal_median,lya_reversal_high_1sig,lya_reversal_high_2sig,lya_reversal unconvolved_low_2sig,lya_reversal unconvolved_low_1sig,lya_reversal unconvolved_median,lya_reversal unconvolved_high_1sig,lya_reversal unconvolved_high_2sig,lya_model unconvolved_fluxes,vs value,am value,fw_L value,fw_G value,h1_col value,h1_b value,h1_vel value,h1_col2 value,h1_b2 value,h1_vel2 value,d2h value,p value,wave_lya,flux_lya,error_lya,data_mask_lya
13,4.375322908268522e-17,9.687632451890021e-17,2.0509214450152494e-16,3.406399150326101e-16,4.721182808218928e-16,3.277357033351726e-17,8.431287463056893e-17,1.9200771973186581e-16,3.2569367863086894e-16,4.55109306157769e-16,4.5744856122551625e-17,1.0189944785883032e-16,2.160893903701709e-16,3.6154786942490434e-16,5.058639954583349e-16,3.4013328798737683e-17,8.782559511647516e-17,2.0093970693357003e-16,3.4351574318104456e-16,4.83589505065209e-16,0.8974742969787799,0.9316623370177611,0.9570004249996998,0.9743570402977706,0.9860382804919446,0.901328164636599,0.9343841443712511,0.9588032078536108,0.9755013346529137,0.9867172975915849,0.9906947778941058,0.9938146563657113,0.9963313418616881,0.9980778202608517,0.9989872862960927,0.9913330544095842,0.994318172807601,0.9967387248432529,0.9984364090547412,0.9992963875056559,,,,,,,,,,,,,,1214.2030029296875,2.527205595603799e-15,1.4192893593313713e-15,1.0
14,5.2826122981559876e-17,1.110384062008536e-16,2.255550379238289e-16,3.690349929093366e-16,5.088538664792604e-16,3.7081211803588293e-17,9.249877359595571e-17,2.0771944199390757e-16,3.5044487349490786e-16,4.879469207770034e-16,5.568683864547112e-17,1.1746526148018952e-16,2.390263376565606e-16,3.940293784948375e-16,5.480987368926375e-16,3.848835799137908e-17,9.658469219915037e-17,2.1803824509353443e-16,3.710196815228827e-16,5.214512281114568e-16,0.8896043337798868,0.9263139688209954,0.953615862276036,0.9723595174312168,0.9849862436717145,0.8938985356550102,0.9293619053421512,0.9556198426123366,0.9735965856933942,0.9856892961433295,0.9899045340482046,0.9932921440471927,0.9960175012236174,0.9979017008289843,0.9989205170831017,0.9906268873691116,0.9938449524379309,0.9964537702227357,0.9982840952494025,0.9992114962559636,,,,,,,,,,,,,,1214.25634765625,-5.96806656201612e-16,6.652689941359473e-16,1.0
15,6.566661780682765e-17,1.3016420003569404e-16,2.5083409686895247e-16,4.0240942868701436e-16,5.504876013658173e-16,4.261835857696456e-17,1.0259923661378122e-16,2.2580726170674446e-16,3.783159822674857e-16,5.250484818004131e-16,6.964671678410336e-17,1.3883452109275727e-16,2.678318896289523e-16,4.3257975925052003e-16,5.971534560001605e-16,4.444183111950141e-17,1.0758534042904615e-16,2.380118203296045e-16,4.0216603340359556e-16,5.637940626544427e-16,0.8807904939691782,0.9202344858071223,0.9497458076221608,0.9700490383424835,0.9837424079096819,0.8856615685977116,0.9237717845856771,0.9520611713633983,0.9714639432316845,0.9845218346977022,0.9888681967742895,0.9925858086763281,0.9955558537237168,0.997606396768039,0.9987717327379817,0.9898087033075007,0.993298208949955,0.9961177501382018,0.9980965979737074,0.9991089056976985,,,,,,,,,,,,,,1214.3096923828125,-9.238792173005587e-17,8.332853907621262e-16,1.0
16,8.346886966794023e-17,1.5615873158965522e-16,2.8279904807288056e-16,4.419593044047709e-16,5.985879341218579e-16,5.0190726956329865e-17,1.1549627264304428e-16,2.4697695401381617e-16,4.0975673123179937e-16,5.665786574904112e-16,8.928209332363794e-17,1.6808626155133717e-16,3.0482446326637815e-16,4.792139151070578e-16,6.551656195755815e-16,5.241659360899429e-17,1.2171319388730363e-16,2.61556617938749e-16,4.380186646356312e-16,6.118056644864978e-16,0.870651544004023,0.9133116548332085,0.9453103771965852,0.9673707506819162,0.9822696767683518,0.8765289373354451,0.9175085412860838,0.9480680638575695,0.9690627652226997,0.9832110061458118,0.987508324851936,0.9916338268810677,0.9948899751553872,0.9971721633882561,0.9985081188573562,0.9888537123593796,0.9926510401372713,0.995717360688,0.9978590193728119,0.9989786330943978,,,,,,,,,,,,,,1214.3629150390625,4.37159580369016e-16,1.0083947354094943e-15,1.0
17,1.078584060233299e-16,1.9085210048665483e-16,3.2432947925440405e-16,4.902832674596444e-16,6.548324989820844e-16,6.043496853755777e-17,1.3277722062105327e-16,2.72812671989556e-16,4.463123158063657e-16,6.132605853241797e-16,1.165354933169184e-16,2.07900236263372e-16,3.535759353161905e-16,5.37617495626579e-16,7.255103193729918e-16,6.342145500811642e-17,1.405434806162934e-16,2.9041946748690677e-16,4.796785508291839e-16,6.664803126096953e-16,0.8592531981063144,0.9054370824488503,0.9402477549064256,0.9642952118117695,0.9806020834301127,0.866130870093974,0.910416877754942,0.9435391155881541,0.9663458316663672,0.9817291638578542,0.9857350289684198,0.9903795198237971,0.994009680549981,0.9965909931260494,0.9981678624253786,0.9877148245826898,0.9918710887523519,0.9952210508379944,0.9975513113627583,0.9988089820904955,,,,,,,,,,,,,,1214.416259765625,3.498156710184325e-15,1.5777089785442774e-15,1.0
18,1.423534316178596e-16,2.3776586423280316e-16,3.791758424944281e-16,5.512572868022024e-16,7.224400737428693e-16,7.524790869172337e-17,1.5675570610130578e-16,3.0473001030498824e-16,4.887308617288164e-16,6.670517139689028e-16,1.5587161616459546e-16,2.620811186631967e-16,4.194440506104257e-16,6.131960409636585e-16,8.168115840492861e-16,7.934452074484641e-17,1.6672182789822312e-16,3.266799538553749e-16,5.290760411651793e-16,7.299401693872464e-16,0.8461723483630567,0.8964681830496467,0.9344382725340054,0.9607757006548902,0.9786576712327606,0.8544400322778808,0.9023984399469507,0.9384183696957427,0.963241450173362,0.9800238210177413,0.9833383536945278,0.9886816110591574,0.9928240486590941,0.9958254135789859,0.9977365795036909,0.9862608540184679,0.9908970705701889,0.994587284474286,0.9971487408995482,0.9985926526436762,,,,,,,,,,,,,,1214.4696044921875,8.964448259906168e-16,1.0882762950826792e-15,1.0
19,1.8847036905238396e-16,2.9986510473795044e-16,4.517314038003058e-16,6.301511731747165e-16,8.0836446542664e-16,9.588661699101667e-17,1.893800744296045e-16,3.460632609694099e-16,5.399666268246809e-16,7.293116243293667e-16,2.0949757710678989e-16,3.346360523650294e-16,5.084680535845636e-16,7.154563350471809e-16,9.364850910089257e-16,1.0154805248010247e-16,2.0284407526921085e-16,3.73419461821312e-16,5.886409105917529e-16,8.047674489206638e-16,0.8312865793256848,0.8861357369870199,0.9276879014767906,0.9566635887219785,0.9764196246849433,0.8411572955763492,0.8932957246520905,0.9325649195991733,0.9597191145875192,0.9781259297771493,0.9800238908109697,0.98633114095387,0.9912207498662904,0.9948147650233401,0.9971399099743619,0.9844279794124202,0.9896496613570104,0.9937466881598279,0.9966368799126586,0.9983094975782985,,,,,,,,,,,,,,1214.5228271484375,1.4503236936067032e-15,1.2079276398162296e-15,1.0
20,2.5075263948897995e-16,3.808279340949393e-16,5.474539274919248e-16,7.348345177252751e-16,9.218360765944057e-16,1.2618225409732407e-16,2.3498421761586074e-16,4.012799473593928e-16,6.039636477414001e-16,8.025514282429277e-16,2.82366629061765e-16,4.3209765879680705e-16,6.289282243776787e-16,8.571417654434244e-16,1.1089472628149485e-15,1.344418300256646e-16,2.532965838329041e-16,4.366038459118251e-16,6.637793872838715e-16,8.959214678468214e-16,0.8142167320476965,0.8741278656449681,0.9198119338813232,0.9518558682435337,0.9737578704353109,0.8259523357445564,0.8829045178053244,0.9258624006880393,0.9556689128175033,0.9758950139906979,0.9752788827529147,0.9830321059845241,0.9890413715698645,0.993451155818603,0.996380149422556,0.981883071041798,0.9879517908628503,0.9926261626827847,0.9959508480041644,0.9979322129619297,,,,,,,,,,,,,,1214.576171875,-2.1087803723247986e-16,7.920827435923617e-16,1.0
21,3.325935200612152e-16,4.865819279127867e-16,6.719574835860814e-16,8.751710249850238e-16,1.0780295114105239e-15,1.6890736008426814e-16,2.971225489377934e-16,4.772190201557025e-16,6.883343400378108e-16,8.970351042805823e-16,3.7966102744287804e-16,5.6199204801612715e-16,7.905533233206277e-16,1.056889994907872e-15,1.3610365629338127e-15,1.8224658185456678e-16,3.230064056234777e-16,5.235937178051523e-16,7.645169530519129e-16,1.015056854279135e-15,0.7946716181613818,0.8602031081110031,0.9105292788622849,0.9461206836313866,0.9705492761358182,0.8086198216928748,0.8709181839424853,0.9181041326248,0.9509580042017399,0.9733300298245374,0.968631990286568,0.9784491271162677,0.9860677287626084,0.991633261428507,0.9953692560478937,0.978255748084364,0.9855574575350355,0.9910943853387522,0.9950401838595404,0.9974580264539233,,,,,,,,,,,,,,1214.6295166015625,4.8781990626024644e-17,8.691292839910865e-16,1.0
22,4.3901274037581576e-16,6.208358910997725e-16,8.317116210157061e-16,1.0605171192525023e-15,1.2946263496797566e-15,2.2904060766842354e-16,3.8121369646984347e-16,5.805752577890082e-16,8.051350314210735e-16,1.0294743086255357e-15,5.091665291413263e-16,7.314257185797243e-16,1.0069265477555647e-15,1.3398281266397153e-15,1.7356711510914098e-15,2.4887636252718605e-16,4.1790566146161585e-16,6.441651778672316e-16,9.05495904532807e-16,1.1829161943076046e-15,0.77196763792515,0.843860105284135,0.8994453116530342,0.9391681599562156,0.9666741416957628,0.7887666421905588,0.8570581168246506,0.9090695645983262,0.9455053487937132,0.9703252540977538,0.9596026062874631,0.9721003067668369,0.9819714522051397,0.9891564880814063,0.9939838200590294,0.9728241601055013,0.9821343572574862,0.9889913493823879,0.9938154882786957,0.9968089319041807,,,,,,,,,,,,,,1214.6827392578125,1.2219474115218276e-15,1.1568432945255596e-15,1.0
23,5.741833115249158e-16,7.877742958431461e-16,1.0333541346524781e-15,1.3026590315992072e-15,1.5828646340426254e-15,3.1325927512467786e-16,4.969360004831123e-16,7.227471717283161e-16,9.72656684257226e-16,1.2358510881714628e-15,6.777688251735538e-16,9.506154286264008e-16,1.2985959834016832e-15,1.7343496082305015e-15,2.2794463909633682e-15,3.439163862378146e-16,5.502766036984681e-16,8.122896919905479e-16,1.1106126202508884e-15,1.4436756646069804e-15,0.7452269848532109,0.8242304809810702,0.8860223598601227,0.9306402299919074,0.9617647864178027,0.7657533502028684,0.8409331316517418,0.8985108354464001,0.9390543818222691,0.9667976865731451,0.9473889215408677,0.9634134383988744,0.9763453281604413,0.9858155825939872,0.9920727928819834,0.9647185027196703,0.9770677397370882,0.9860447743140339,0.9921581368304362,0.9959617910717466,,,,,,,,,,,,,,1214.736083984375,1.6548993027857986e-15,1.2456197589360988e-15,1.0
24,7.367259746964462e-16,9.909493580704787e-16,1.280554591343987e-15,1.6018061387459955e-15,1.936267154644108e-15,4.3064967174620546e-16,6.516511870996066e-16,9.15711730180273e-16,1.2176388719434383e-15,1.5687202486461622e-15,8.90259277181883e-16,1.2339866474418377e-15,1.6896003963713814e-15,2.2742867230335464e-15,3.0352209069976426e-15,4.768813842304441e-16,7.307307791362919e-16,1.0445574645881275e-15,1.4199744569674448e-15,1.866621673649075e-15,0.7136298468550801,0.8004532317423756,0.8691436481056862,0.9197809900985441,0.9553763674976399,0.7389628795390002,0.822061639225492,0.8860032420025049,0.9314167742250411,0.9625910466425138,0.9314789577567538,0.9517689336827078,0.9686136663556676,0.9812027167975858,0.9894946190801766,0.9529227219193268,0.9696244472046618,0.9818511786065418,0.9898930309916786,0.9948825409339559,,,,,,,,,,,,,,1214.7894287109375,1.998292177075086e-15,1.3114444892122433e-15,1.0
25,9.281360543858071e-16,1.2239113206329121e-15,1.5675486500653025e-15,1.948394653067844e-15,2.339712982989034e-15,5.879050810208834e-16,8.55153085436022e-16,1.1801778237944915e-15,1.5805295781311877e-15,2.060394011584873e-15,1.1553117181923149e-15,1.6015343940781366e-15,2.207633807562939e-15,2.9915042743919995e-15,4.081323044364139e-15,6.561084492775826e-16,9.719580163785992e-16,1.3720713298400292e-15,1.8861108342399188e-15,2.5302443157354876e-15,0.6766154233053583,0.771016389189176,0.8472783865033986,0.9052587000116711,0.9465811209486227,0.7074449680992189,0.7996298736906955,0.8711795911107257,0.9222716193407261,0.9575571819367518,0.9112986898300999,0.9365098135661553,0.958135141722873,0.9748775080446104,0.9859613900035067,0.9363624337193737,0.9587575875282819,0.9757590250338866,0.9867648775300281,0.9933662981845498,,,,,,,,,,,,,,1214.8426513671875,1.025977445328599e-15,1.1109565551574788e-15,1.0
