col0 col1
2097.566086685707 4.0254710476457717e-16
2099.112754685967 3.5882369398738645e-16
2100.659431801108 3.249842716705068e-16
2102.2061180312894 3.1471755942588893e-16
2103.7528133766737 3.138263376378207e-16
2105.2995178374213 4.877088899700914e-16
2106.8462314136937 3.5217008294595766e-16
2108.3929541056523 4.2214415405286286e-16
2109.939685913457 2.8428277285455945e-16
2111.4864268372708 3.465575569337567e-16
2113.033176877254 4.0761253272627885e-16
2114.5799360335677 3.2386548244271524e-16
2116.126704306373 4.586703484662351e-16
2117.673481695832 4.5980645730455e-16
2119.2202682021043 4.0101606559732486e-16
2120.7670638253526 5.230371866643633e-16
2122.3138685657373 6.382971422686986e-16
2123.86068242342 5.074681170666863e-16
2125.4075053985616 4.155420697529284e-16
2126.9543374913233 3.494074790412281e-16
2128.5011787018666 3.3650724980191365e-16
2130.0480290303526 4.1841532472447273e-16
2131.594888476943 4.2433758730574014e-16
2133.1417570417984 4.130420685915378e-16
2134.6886347250806 3.6415338103771614e-16
2136.23552152695 3.772920519836521e-16
2137.7824174475686 4.895688577072603e-16
2139.3293224870977 4.491668873323475e-16
2140.8762366456986 3.73374687352352e-16
2142.4231599235313 4.560218163414176e-16
2143.9700923207592 4.2360238604240626e-16
2145.517033837542 5.607581101362829e-16
2147.0639844740413 4.1808578402694937e-16
2148.6109442304187 5.167423904230678e-16
2150.1579131068356 4.861323013073882e-16
2151.7048911034526 4.569478213805574e-16
2153.251878220432 4.613943523242268e-16
2154.7988744579343 4.812296632816025e-16
2156.3458798161205 4.980350866150927e-16
2157.8928942951534 4.479846168709748e-16
2159.439917895193 3.684953461831329e-16
2160.9869506164014 4.780799786843057e-16
2162.53399245894 4.0967482664126493e-16
2164.0810434229684 5.269285178686192e-16
2165.62810350865 3.7672068487391647e-16
2167.1751727161454 4.56533591028251e-16
2168.7222510456163 4.699800181304076e-16
2170.2693384972235 4.3699519796770407e-16
2171.8164350711286 4.862012196744183e-16
2173.3635407674933 4.041355398968483e-16
2174.9106555864782 4.2322754790197593e-16
2176.4577795282457 5.385494004096158e-16
2178.0049125929563 4.441060323239441e-16
2179.552054780772 5.814092791710717e-16
2181.0992060918534 5.463997929374502e-16
2182.6463665263627 5.203460936671164e-16
2184.1935360844614 5.972084727414182e-16
2185.7407147663093 4.98058095411609e-16
2187.2879025720695 5.739843153299985e-16
2188.8350995019036 5.375114120259285e-16
2190.3823055559724 5.330176392340128e-16
2191.9295207344367 6.1442207716615895e-16
2193.4767450374584 5.252138764268179e-16
2195.0239784651994 6.077578079028697e-16
2196.571221017821 5.369492988453082e-16
2198.1184726954843 6.528211300039502e-16
2199.665733498351 5.851309790132173e-16
2201.213003426582 6.326886130896953e-16
2202.7602824803394 5.484547773286604e-16
2204.3075706597842 6.812355173938566e-16
2205.854867965079 6.62009237397791e-16
2207.402174396384 5.919073756510791e-16
2208.949489953861 6.098257189888363e-16
2210.4968146376714 5.697778104232272e-16
2212.044148447977 5.957582704257765e-16
2213.5914913849388 4.26772882978336e-16
2215.138843448719 6.867471863809524e-16
2216.6862046394785 5.379230138302762e-16
2218.23357495738 5.452106810498834e-16
2219.780954402583 5.49865083327338e-16
2221.328342975251 6.183798782270175e-16
2222.875740675544 6.220189408422383e-16
2224.423147503624 7.382210688560356e-16
2225.970563459653 5.832945961926654e-16
2227.5179885437924 6.988871891400646e-16
