hostname_nn,letter_nn,Event,ProposalCategory,ProposalID,Cycle,Observation,Status,ObservingMode,GratingGrism,Subarray,ReadoutPattern,Groups,StartTime,EndTime,Hours,LastName,ProprietaryPeriod,EquatorialCoordinates,sy_kmag,sy_dist,st_teff,st_mass,st_rad,st_logg,pl_orbper,pl_orbsmax,pl_orbincl,pl_massj,pl_radj,pl_g_SI,pl_dens_cgs,pl_Teq_K,pl_trandep,pl_trandur,pl_TSM_K,pl_ESM_3um,PlanWindow,st_met,st_prot,
NGTS-2,b,Transit,GO,3838,2,3,Executed,BOTS,G395H,SUB2048,NRSRAPID,48,7/10/24 3:03,7/10/24 13:17,11.13,Kirk,12,14 20 29.4628 -31 12 7.45,9.799,356.39,6478,1.64,1.702,4.197,4.5111232,0.063,88.5,0.74,1.625,7.94,0.26,1623.6,1.1,4.6,148.53,31.79,X,-0.06,,
TIC_207140650,X,Flares,GO,7068,4,5,Implementation,SOSS,X,SUBSTRIP256,NISRAPID,5,X,X,7.57,Doshi,12,02 56 57.6741 -58 21 45.39,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"Aug 16, 2026 - Oct 8, 2026 (2026.228 - 2026.281)",-999,,
TIC_231020638,X,Flares,GO,7068,4,2,Implementation,SOSS,X,SUBSTRIP256,NISRAPID,3,X,X,12.18,Doshi,12,01 50 56.9007 -58 44 3.21,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"Aug 6, 2026 - Sep 28, 2026 (2026.218 - 2026.271)",-999,,
TIC_261560580,X,Flares,GO,7068,4,1,Implementation,SOSS,X,SUBSTRIP256,NISRAPID,8,X,X,12.37,Doshi,12,23 17 0.1185 -74 32 9.44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"Jun 29, 2026 - Aug 21, 2026 (2026.180 - 2026.233)",-999,,
TIC_80427281,X,Flares,GO,7068,4,3,Implementation,SOSS,X,SUBSTRIP256,NISRAPID,4,X,X,8.75,Doshi,12,00 42 10.9234 -42 52 54.55,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"Aug 17, 2025 - Aug 23, 2025 (2025.229 - 2025.235)",-999,,
TIC_89502706,X,Flares,GO,7068,4,4,Implementation,SOSS,X,SUBSTRIP256,NISRAPID,4,X,X,7.3,Doshi,12,23 47 22.4705 -23 17 17.30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"Oct 22, 2025 - Dec 14, 2025 (2025.295 - 2025.348)",-999,,
TOI-1075,b,Eclipse,GO,4818,3,13,Executed,LRS,X,SLITLESSPRISM,FASTR1,55,6/15/25 4:50,6/15/25 10:04,5.3,Weiner Mansfield,12,20 39 53.3385 -65 26 57.99,9.115,61.46,3921,0.602,0.58,4.65,0.6047328,0.012,84.67,0.031,0.16,34.76,11.64,1331.9,0.1,1,35.36,4.26,X,-0.08,,
TOI-1130,b,Transit,GO,3385,2,2,Executed,BOTS,G395H,SUB2048,NRSRAPID,8,8/20/24 8:44,8/20/24 16:25,8.12,Huang,12,19 05 30.2409 -41 26 15.50,8.351,58.26,4250,0.698,0.695,4.6,4.07445,0.045,87.98,0.061,0.326,16.39,2.69,809.3,0.3,2.1,93.64,1.79,X,0.2,25.6,
TOI-1231,b,Transit,GO,3557,2,3,Executed,LRS,X,SLITLESSPRISM,FASTR1,12,12/28/24 13:09,12/28/24 20:32,8.59,Madhusudhan,12,10 26 59.3375 -52 28 4.16,8.069,27.62,3544,0.485,0.471,4.808,24.2455413,0.129,89.73,0.048,0.336,12.18,1.94,326.7,0.6,3.3,130.1,0,X,0.04,,
TOI-125,c,Transit,GO,4126,2,2,Skipped,BOTS,G395H,SUB2048,NRSRAPID,22,X,X,9.95,Fisher,12,01 34 22.4221 -66 40 34.86,8.995,111.06,5282,0.871,0.851,4.517,9.1526075,0.082,88.54,0.021,0.246,9.76,2.12,822.5,0.1,2.9,58.89,0.39,X,0.07,,
TOI-1416,b,Eclipse,GO,4818,3,5,Executed,LRS,X,SLITLESSPRISM,FASTR1,18,2/17/25 18:29,2/17/25 23:23,5.89,Weiner Mansfield,12,14 27 41.7656 +41 57 12.32,7.708,55.01,4915,0.798,0.796,4.529,1.0697594,0.019,85.7,0.011,0.144,15.04,5.6,1534.5,0,1.4,85.91,3.79,X,0.08,17.6,
TOI-1420,b,Transit,GO,9101,4,7,Implementation,BOTS,G235M,SUB2048,NRSRAPID,30,X,X,9.79,Radica,12,21 31 45.9171 +66 20 55.93,10.119,201.92,5448.5,0.987,0.932,4.482,6.9561098,0.071,88.58,0.079,1.07,1.96,0.1,951.6,1.5,3.4,670.55,7.22,"Dec 6, 2026 - Dec 7, 2026 (2026.340 - 2026.341)",0.28,,
